"""is_sarcastic",headline
1,‘More Tranquil Dammit!’ Screams Perfectionist Ambient Sound Producer Demanding Another Take From Babbling Creek
1,"Over 500,000 Americans Sign Petition Demanding End To Coronavirus"
1,Jeff Bezos Depressed After Realizing Net Worth Still Just Number Known To Man
1,"Birch Tree Pictures Nude 4,000-Year-Old Bristlecone Pine To Delay Pollen Release"
1,NRA Receives Massive Funding Increase From Donors Held At Gunpoint
1,Passing Lane
1,Fantasy Baseball League Commissioner Knows Handling Of Pandemic Will Define His Legacy
1,Weight Watchers Debuts New Ad Asking If You Remember Time Grandma Said ‘Someone Got Heavy’ In Front Of Everybody
1,"Your Horoscopes — Week Of June 16, 2020"
1,Melania Trump Renegotiated Prenup Before Moving Into White House
1,The Biggest Titles Announced At The PS5 Game Lineup Event
1,"‘So, It Means Making The Police Lose Their Homes And Forcing Them To Get A Divorce?’ Says Nation Still Struggling To Understand How Defunding The Police Works"
1,36-Year-Old Man Begins Outlining A Savings Plan For PS5
1,Covid-19 Cases Spike In 21 States
1,Adidas Unveils New Line Of Soccer Stuff
1,Amazon Temporarily Halts Police Use Of Facial Recognition Software Until It Can Perfect ‘Other Faces You Might Be Interested In’ Feature
1,Former DEA Officer Pleads Guilty To Posing As CIA Agent In Fraud Scheme
1,City Enters Phase 4 Of Pretending Coronavirus Over
1,ExxonMobil Simplifies Oil Extraction By Cutting Earth In Half
1,Online Activists Raise $5 Million To Create New Martin Luther King Jr. Quote
1,"The Week In Pictures – Week Of June 15, 2020"
1,Lady Antebellum Changes Name
1,Brutal: Playstation Has Cancelled The Entire PS5 Game Lineup After @NicoBoy95 Commented ‘No One Cares’ On Their Livestream
1,Sorry Gamers: ‘The Last Of Us Part II’ Has Been Delayed Again Because Naughty Dog’s Headquarters Fell Into The Ocean
1,Pros And Cons Of Removing Historical Statues
1,Quaker Oats Replaces Historically Racist Aunt Jemima Mascot With Black Female Lawyer Who Enjoys Pancakes Sometimes
1,Red Sox Ask Fans To Switch From Racial To Homophobic Slurs When Taunting Opposing Players
1,Showrunner Worried This A Bad Time For New Series About 2 Cop Best Friends Who Get Neo-Nazi Roommate
1,Giant Pandas Finally Mate After Being Married In Catholic Ceremony
1,Crabs: Did Evolving Chitinous Exoskeletons And Strong Pincers Send The Wrong Message To America’s Impressionable Teens?
1,Archaeologists May Have Discovered Oldest Theater In London
1,Stimulus Dreck
1,TV Show ‘Cops’ Cancelled
1,Anna Kendrick’s ‘Love Life’ Pulled From HBO Max Until It Can Return With Historical Context
1,South Secedes From NASCAR Following Confederate Flag Ban
1,No Way In Hell Man Going To Start Examining Relationship With Food Right Now
1,White Ally Willing To Do Whatever It Takes To Make Sure People Won’t Be Mad At Him
1,Treasure Chest Buried In Rocky Mountains Discovered
1,New Guidelines Allow Gyms To Reopen For Weak Little Bitches Who Just Diddle Around And Don’t Break A Real Sweat Anyway
1,Controversial Photos Of Dem Leaders Wearing Kente Cloth Resurface From 3 Days Ago
1,Astronaut Becomes First Woman To Reach Deepest Point In Ocean
1,U.K. Demonstrators Tear Down Statue Of Slave Trader
1,Woman On Sidewalk Can’t Even Summon Kernel Of Whimsy Required To Skip Along Hopscotch
1,Timeline Of Trump’s Response To The George Floyd Protests
1,37-Year-Old Worried He Might Have Missed Boat On Becoming Child Prodigy
1,Biden Flattered His 1994 Crime Bill Suddenly Starting To Receive So Much Attention
1,"‘Trump Is Finally Done, Trump Is Finally Done,’ Says Strait-Jacketed Opinion Columnist Babbling To Cup Of Applesauce"
1,Georgia Secretary Of State Vows To Investigate Why Some Residents Forced To Wait 2 Centuries To Vote
1,‘Banjo-Kazooie’ Fans Will Love This: This Man Threw His Bird On The Ground
1,Adopt-A-Slide: These 10 Slides Still Need A Slideshow Home
1,Second Meal After Grocery Trip A Severe Drop-Off From First Meal After Grocery Trip
1,WHO Walks Back Claim That Covid-19 Can Only Be Transmitted Through Locking Eyes With One True Love
1,Woman Begins Defeated Slog Back Upstairs To Apartment To Retrieve Forgotten Mask
1,TV Critic Struggling To Explain Appeal Of Watching Television To Average American
1,Tuba Player In John Williams Orchestra Loves Giving Little Toot When Something Dramatic Happens
1,NASA Launches Vengeance Rover To Pay Back Mars For Killing Opportunity Back In 2018
1,U.S. Economy Officially Entered Recession In February
1,‘New Yorker’ Cartoon Editor Defends Publishing Comic By Tom Cotton
1,Woman Who Hasn’t Attended Protest Yet Hoping Police Brutality Still Going On Next Week Too
1,Major Hype: Gamers Have Been Divorcing Their Spouses Because They Aren’t As Beautiful As The Graphics On ‘Unreal Engine 5’
1,"8-Month Odyssey Of Distress, Despair Ends In Redemption As Man Finally Gets Around To Buying Batteries For Remote"
1,"Your Horoscopes — Week Of June 9, 2020"
1,Panicked White Woman Calls Police On Statue Of Martin Luther King Jr.
1,"‘Moms Are The Real Heroes,’ Reads New Comment On 2015 ‘Ant-Man’ Trailer"
1,Everyone Who Learned Of Our Dalliance With The Colonel This Year
1,Apparently Even Fence Feels Need To Comment On Woman’s Appearance
1,"Elmer Fudd, Yosemite Sam Will Not Have Guns In ‘Looney Tunes’ Reboot"
1,Poll Finds Two-Thirds Of Americans Think Trump Has Made Racial Tensions Worse
1,TikTok Apologizes After Inadvertently Giving Platform To Thousands Of Theater Kids
1,Congress Announces Willingness To Offer Black Lives Matter Protesters Holiday Or Statue
1,Company Issues Statement Announcing They Stand With Rejected Black Applicants
1,Wriggling Cat To Be Held Until It Accepts Its Fate
1,Kyrie Irving Suggests NBA Hold Games Inside Higher Plane Of Reality Beyond Limits Of Mortal Realm
1,15 Popes They Didn’t Tell You About In Sunday School
1,New LinkedIn Feature Lets Job-Seekers Add Most Humiliating Things They Willing To Endure
1,"The Week In Pictures – Week Of June 8, 2020"
1,YouTube Star Jake Paul Charged With Trespassing
1,General Mattis Condemns Trump As Threat To Constitution
1,Two Buffalo Police Officers Suspended After Staining Clean Sidewalk With Blood
1,Police Chief Vows To Take Concrete Steps To Better Cover Up Violence
1,Pros And Cons Of Curfew Laws
1,Buffalo Police Request Reinforcements Until Elderly-Man Rampages Fully Contained
1,Oakland Athletics Stadium Immediately Converted Into Condos After Team Misses Rent Payment
1,"Letdown: Naughty Dog Says They Worked So Hard On ‘The Last Of Us II’s Amazing Cutscenes, They Only Had Time To Create A Basic Word Puzzler For Gameplay"
1,Family Left Elderly Grandmother To Die In Nursing Home But Not Like This
1,Health Experts Warn Protests Could Set Off Second Wave Of Police Brutality
1,Georgia Governor Orders Statue Of Robert E. Lee To Be Replaced With Larger Statue Of Robert E. Lee
1,"Richmond, Virginia Mayor Issues Ordinance To Remove Confederate Statues"
1,Snapchat To Stop Promoting Trump’s Account
1,The Greatest NBA Teams Of All Time
1,U.S. Flag Can’t Believe Fucking Wuss Cries Every Time National Anthem Plays
1,Republican Leaders Claim New Yorkers Will Greet U.S. Military As Liberators
1,Drew Brees Admits He Doesn’t Trust Black People Ever Since Falcons Linebacker Stole Football Straight Out Of His Hands
1,"On Top Of Everything, Man’s Allergies Also Acting Up"
1,Mark Zuckerberg Announces Virtual Roundtable With American Hate Groups To Better Understand How They Work
1,Mental Health Experts Recommend Bed Only Be Used For Shooting Amateur Pornography
1,Minnesota Launches Civil Rights Probe Against Minneapolis PD
1,Jay-Z Takes Out Full-Page Ad To Honor George Floyd
1,"‘This Face Will Be The Last Thing You See Before You Die,’ Says Trump In Healing Address To Nation"
1,How To Reform The Police
1,Primaried Steve King Glad He At Least Won’t Have To Be PC Anymore
1,Police Defend Use Of Non-Lethal Rubber Tires On Protestors
1,Democratic Leaders Announce That They’ve Learned The Words ‘Systemic Racism’
1,Botanists Concerned By What Returning To Work Will Do To Nation’s House Plants
1,Americans Buying More Frozen Foods During Pandemic
1,Facebook Employees Stage Virtual Walkout
1,"‘She Needs A Bible Now, Fuckwad—Yes, It’s For An Epic Clapback!’ Yells Panicked Pelosi Aide Into Phone"
1,Auntie Anne’s Breaks From Pack By Calling For Protesters To Be Shot
1,"Trump Throws Garbage Can Through McDonald’s Window Before Looting $2,000 In Big Macs"
1,Police Didn’t Spend Millions On Awesome Tank Just To Let Protests Stay Peaceful
1,Roger Goodell Insists Martin Luther King Jr. Would Have Wanted 17-Game Football Season In Front Of Full Stadiums
1,Community Of Losers Comes Together To Clean Graffiti Off Multinational Banking Conglomerate
1,Cities Nationwide Placed Under Curfews
1,De Blasio: ‘It Is An Honor To Have My Daughter Doxxed By The Greatest Police Force In The World’
1,9 Things Introverts Do All The Time
1,An Acquired Waste
1,Old Bike Chain Needing More And More Lube To Perform
1,"Your Horoscopes — Week Of June 2, 2020"
1,Study: Dolphins Not So Intelligent On Land
1,"Minneapolis, New York City Bus Drivers Refuse To Help Police Transport Protestors"
1,Sweatshop Worker Devastated To Hear Jacket She Worked So Hard On Looted
1,"‘Let Them Have Eric,’ Screams Trump While Pushing Son Through Door Of Bunker"
1,"Cop Unable To Move After Taping Over Badge, Body Cam, Face, Body"
1,Miami Mayor Suggests Citizens May Be Able To Resume Grinding On Each Other By July 1
1,Trump Claims U.S. Will Designate Antifa A Terrorist Organization
1,Study Finds Majority Of Times Either Too Early Or Too Late
1,Fed Chairman Downloads Budgeting App To Help Manage Nation’s Economy
1,7 Places You HAVE To Go After You Die
1,"Florida Governor Deploys National Guard To Force Residents Back Into Malls, Movie Theaters"
1,CNN Turns 40
1,"The Week In Pictures – Week Of June 1, 2020"
1,Grandmother’s Final Words ‘Have When It Together On It Go Family’
1,Archaeologists Discover Perfectly Preserved Roman Mosaic Floor
1,"‘I Will Not Be Censored,’ Yells Trump Chaining Himself To Phone Displaying Twitter Homepage"
1,Effects Of Online Public Shaming
1,Adam Silver Shows Solidarity With Players By Inserting Self As Milwaukee Bucks Point Guard
1,Top 10 Best Cities To Move To Today
1,Woman Needs To Shut Up And Allow Man To Be Ally
1,Major Relief: Blizzard Has Announced That ‘Overwatch’ Players Will Be Able To Carry Over Their Unlocked Skins And Emotes Into The Afterlife
1,Covid-19 Antibody Tests May Be Wrong 50% Of The Time
1,NASA Curious How Folks Would Feel If They Hypothetically Already Launched A Manned Mars Mission That Didn’t Go So Hot
1,Historic SpaceX Launch Postponed
1,Man Questions If It Really Necessary For Protesters To Be Black
1,Protestors Criticized For Looting Businesses Without Forming Private Equity Firm First
1,White House Press Secretary: ‘Trump’s Critics Will Seize On Any Six-Figure Death Toll That Suits Their Narrative’
1,‘Mommy Had To Go To The Hospital Today’ Starts Instagram Chihuahua’s Darkest Post To Date
1,WHO Warns Covid-19 Could Mean End To Blowing Water Through Pool Noodle Into Friends’ Faces
1,Inspirational ‘Hang In There’ Chalk Message The Thing That Finally Breaks Entire Neighborhood
1,What To Read While Social Distancing
1,Top 9 Black Plague FAILS
1,Mike Tyson Offered $20 Million To Compete In Fight
1,Authorities Receive List Of Demands From Increasingly Hostile Coronavirus
1,Cautious Black Man Avoids Appearing As Threat To White Person By Crossing To Other Dimension
1,Jack Dorsey Assures Twitter Users That Company Having Most Idiotic Possible Internal Conversations About Trump’s Account
1,Inspiring: CD Projekt Red To Immortalize Programmers Who Died Making ‘Cyberpunk 2077’ As NPCs So They Can Serve CD Projekt Forever
1,Twitter Refuses To Remove Trump Tweets About Scarborough Conspiracy Theory
1,10 Breathtaking Photos That Perfectly Capture The Unwavering Spirit Of Scissors
1,Woman Knows Current Hardships Just Preparing Her To One Day Give Up Completely
1,Architect Has Amazing Idea For Replacing Freedom Tower If Worst Were To Happen Again
1,Half Hour Of Constant Rubbing Somehow Fails To Soothe Irritated Eye
1,Remote Possibilities
1,Family Increasingly Terrified That Ghost Haunting House Might Be Pedophile
1,Deepak Chopra’s EPIC Twitter Meltdown
1,CDC Warns Of Aggressive Rats Scavenging For Food
1,"What Are ‘Coronavirus Parties,’ And Why Weren’t We Invited?"
1,Trump Claims To Have Stopped Taking Hydroxychloroquine
1,Minneapolis Police Now Requiring Officers To Undergo Ergonomics Training To Better Protect Knees
1,"DNC To Streamline Fundraising By Cutting Out Unnecessary Cost Of Campaigns, Candidates"
1,Top So-Called Expired Items That Are Still Perfectly Good
1,Trump: ‘Even One Death That Makes Me Look Bad Is A Tragedy’
1,Tyson Promises Meatpackers Who Die From Coronavirus Will Not Go To Waste
1,"8 People Having A Way Better Day Than You, Although Perhaps It Is Reckless To Make A Snap Judgement About Another Person’s Life Based Solely On An Image"
1,"Your Horoscopes — Week Of May 26, 2020"
1,Heavenly Sources Confirm Jesus Christ Will Transfer To Iowa State University After Getting Grades Up
1,"The Week In Pictures – Week Of May 25, 2020"
1,"CDC Issues Safety Guidelines For Pools, Water Parks, Hot Tubs"
1,Man Always Self-Sabotaging By Working To The Best Of His Ability
1,The 9 Most SCANDALOUS Rihanna Photos
1,Complete Bullshit: Designers Of This Online Shooter Made It So This Guy Died Even Though He Totally Ducked
1,19 Tweets From The Audubon Society/Barack Obama Twitter Feud
1,Military Announces $2 Million Research Initiative To Find Out How Mother Of 3 Kathy Summers Able To Do It All
1,How To Stay Connected To Others During Social Distancing
1,"Lori Loughlin, Mossimo Giannulli Plead Guilty In College Admissions Scandal"
1,Governor Upset Barber Would Be So Reckless As To Get Near Ben Roethlisberger
1,Xi Jinping Warns Of Second Coronavirus Wave Likely To Disappear Thousands Of Hong Kong Residents
1,11 Simple Cocktail Recipes To Try While Quarantining
1,Missile Rushed To Hospital
1,Man Shines Phone Light Over Empty Condom Drawer Like Wily Groundskeeper Hunting For Trespassers
1,The Weapons Of The Future And What Sounds You Should Make With Your Mouth While Describing What They Do
1,A True Miracle: This Woman Just Gave Birth To A Nintendo Switch
1,What To Know About The Flooding In Michigan
1,Judge Rules Salvage Company Can Cut Into Titanic Wreck
1,Quarantine Leading To More People Taking In Foster Gimps
1,10 Things That Will Make You SUPER Nostalgic For The ’90s
1,Raspberry Self-Conscious About Amount Of Body Hair
1,Frustrated CEO Admits Pfizer Discovered Coronavirus Vaccine Months Ago But Still Can’t Agree On Ad Campaign
1,German Soccer League Simulates Presence Of Fans By Pumping Racial Slurs Into Stadiums
1,Coronavirus Forces Ford Plants To Temporarily Close Days After Reopening
1,Marriott CEO Tells Investors He’s Had A Good First Quarter In Terms Of His Personal Life
1,NFL Reminds Black Coaches They’ll Get Their Chance Once League Runs Out Of Grudens And Shanahans
1,FiveThirtyEight Releases New Analytics Model Predicting Who Coronavirus Will Vote For
1,"Justin Bieber, Ariana Grande Deny Claim They Bought No. 1 Billboard Spot"
1,10 Wyobraźni Co My Gwarantujemy Przyniesie Uśmiech na Twej Twarzy
1,Warm Weather Compels Concept Of ‘Bikini Bod’ To Slither Forward From Poisoned Subconscious
1,"Confused Primitive Extraterrestrial Shrugs, Take Huge Bite Of Golden Record"
1,Penneys From Heaven
1,Benadryl Introduces New Controlled Coma Pills To Sedate Users For Entirety Of Allergy Season
1,All 50 States Unveil Plans To Ease Coronavirus Restrictions By Memorial Day
1,Trump Orders CDC To Research His Investment Portfolio For Potential Coronavirus Cures
1,Unclear Why Only One Half Of Couple Wearing Mask
1,"Nation’s Politicians, Law Enforcement, Corporate Executives Marvel At Futuristic Utopia They’re Living In"
1,Pros And Cons Of Voting By Mail
1,Report: 0.004% Of Carbon Pollution Caused By Manufacturing Of ‘Mars Needs Moms’ Promotional Apparel
1,The 10 Worst Bar Mitzvahs
1,"Good News, ‘Final Fantasy’ Fans: Looks Like They Made A Bunch Of Those Things"
1,Conversation-Starved Man Finally Treating Bumping Into Coworker As Exquisite Treasure It Truly Is
1,Garlic Clove Concerned About Being Deployed Into Water Glass With No Real Exit Strategy
1,Notre Dame To Reopen Campus For Fall Semester
1,"Study Finds ‘Auld Lang Syne’ Good Enough Song To Be Belted Out On Other Occasions, Too"
1,Rapid Drop In Greenhouse Gas Emissions Causes Planet To Freeze Over
1,U.S. To Combat Growing Disillusionment By Playing New National Pump-Up Anthem Throughout Country
1,Trump Says He Taking Hydroxychloroquine
1,Growing Drug Tolerance Drives Trump To Buy Black-Tar Hydroxychloroquine Off Dealer In D.C. Metro Station
1,Amazon Institutes New ‘Hero Tax’ Charging Essential Workers Additional $2 Per Hour For Honor Of Bravely Performing Job
1,"‘This Is A Crazy Time, And It’s Okay If You’re Scared’ Says Man Burying Gagged Prisoner Alive"
1,High Production Values Most Suspicious Part Of Conspiracy Theory Video
1,10 Songs You Didn’t Know Were Written About Celebrities
1,Rusty LeBron James Unable To Identify A Basketball
1,"Your Horoscopes — Week Of May 19, 2020"
1,"Obama, Malala Among Headliners For Virtual Commencement"
1,Americans React With Indifference After First Case Of Coronavirus Spreading To Pet Ferret
1,Mount St. Helens’ Anniversary Brings Divided Nation Together To Remember Grisly Scene In ‘Dante’s Peak’ When Dude’s Elbow Pops Out
1,"‘Just Know It’s Far Worse Than Whatever President Water Did,’ Says Trump Explaining Obamagate"
1,Stocks Rally On Hope For Coronavirus Vaccine
1,Recipe Calls For Banana As If Man Has Access To Fucking Caribbean Street Market
1,"Coworkers On Zoom Trapped In Infinite Loop Of Telling Each Other ‘Oh Sorry, No, Go Ahead’"
1,Terrifying Implications: Leaked Nintendo Source Code Could Give Terrorists The Ability To Weaponize Kirby
1,Unplanned 2:30 A.M. Trip Through Steven Seagal’s Wikipedia Page Worth Every Goddamn Second
1,God Recalls Getting Start As Backup Dancer Before Making It Big As Deity
1,So-Called Hero Puts Eggs At Bottom Of Grocery Bag
1,"The Week In Pictures – Week Of May 18, 2020"
1,51 Blank Slides
1,New Research Indicates Coronavirus Did Not Spread From Pangolins
1,Investigation Reveals Coronavirus Covering Its Tracks By Making Victims’ Deaths Look Like Car Accidents
1,Drake Fans Accuse Kenny Chesney Of Manipulating Billboard Charts By Putting Effort Into Album
1,No One Aware Coworker Stormed Out Of Slack Meeting
1,Nervous New Driver Going To Stick To Sidewalks Until He’s More Confident
1,Desperate Sports Fan Would Almost Be Willing To Watch Own Kids Play In Backyard At This Point
1,Wisconsin Bars Reopen Following State Supreme Court Decision
1,Helpful HR Email Offers Employees Tips For Ignoring Mental Health
1,500-Mile Dead Zone Found Off Atlantic Coast Linked To Runoff From Olive Garden Alfredo Pipe
1,Emmanuel Macron: America’s Frenchest President?
1,74 Normal Photos And 2 Kinda Weird Ones
1,The 11 Best Games To Play For The Nintendo Switch
1,Record Number Of Women Running For U.S. House In 2020
1,"Democrats Praise Joe Biden For Being Only Candidate Able To Talk Down To Americans Like The Stupid, Slack-Jawed Dumdums They Really Are"
1,Singing Birds Dressing Princess All Struggling With Bra Clasp
1,"Florida Governor Deploys National Guard To Force Residents Back Into Malls, Movie Theaters"
1,113-Year-Old Beats Coronavirus
1,Police Still Investigating What Happened Between Officer Discharging Weapon And Suspect’s Head Exploding
1,"U.S. Economists Predict Endless, Mandelbrot-Shaped Recovery"
1,11 Greatest Sports Moments Made Possible By PEDs
1,Updated Patriot Act Finally Legalizes 80% Of Current FBI Operations
1,"Nurse Wearing Snoopy Scrubs, Floral Face Mask To Work Must Think Pandemic Some Kind Of Joke"
1,Differences Between The Stock Market And The Economy
1,Signs Of Sickness
1,New Windex Formula Promises To Kill Twice As Many Birds
1,Health Officials Close Restaurant That Opened For Mother’s Day
1,Biden Campaign Email Trails Off Halfway Through
1,10 Morally Reprehensible Turtles Who Deserved To Get Their Heads Stuck In Plastic Rings
1,Family Can Trace Ancestry Back To Whatever The Hell Grandma Was Talking About
1,Prize Hog Doesn’t Know How She Can Retain Competition-Ready Body For Another Year
1,10 Over-The-Top Letters From The Alphabet
1,Disgusting Bigotry: The Media Is Only Blaming This Bat For Coronavirus Because He’s A Gamer
1,What To Know About The Killing Of Ahmaud Arbery
1,Eric Trump Requests Meeting With Barron To Determine Whether They Are Uncle And Nephew Or Brothers Or What
1,Episode Of Cooking Show Implying Pastry Chefs Some Sort Of Oppressed Minority
1,Pennsylvania Becomes 3rd State To Fully Outlaw Child Marriage
1,Damning Report Finds White House Ignored Skeletal Horsemen Galloping Through Sky As Early As January
1,Dr. Fauci Warns Of Needless Suffering And Death If America Allowed To Continue
1,White House Will Require Everyone Except Trump To Wear Mask In West Wing
1,Blue Angels Pilot Blushes After Jet Speeds Through Bras And Panties Strung On Alley Clothesline
1,"Report: Mary Grace, Get Your Ass Back Inside This Goddamn Instant"
1,"Yeah, Well, Duck-Billed Platypus Thinks You Look Like Weird Little Freak Too"
1,"Coffee Made, Poured, Consumed Without Single Conscious Thought"
1,Eighth Grader Would Have Cranked Classroom Pencil Sharpener Few More Times If She Knew That Going To Be Last Chance
1,National Grandpa Council Allocates $300 Million To Provide Each American Some Walkin’ Around Money
1,Store Reopens Just In Time For Closeout Sale
1,Coronavirus Assumed White House Would Be Bigger In Person
1,9 MUST-FOLLOW Al-Qaeda Leaders On Twitter
1,FDA Approved First Birth Control Pill 60 Years Ago This Week
1,Health Experts Say Coronavirus Originated In Promiscuous Bat Who Slept Around A Lot
1,"Your Horoscopes — Week Of May 12, 2020"
1,3 Coronavirus Task Force Members To Self-Quarantine
1,Stephen Miller Reassures Sick Wife He Knows What It Looks Like When Woman Dying
1,‘The Last Dance’ Director Defends Creative Choice To Flash Forward To 2046
1,‘God Bless Our Heroes!’ Written Where Tip Should Be
1,All Man’s Fun Facts From Eisenhower Biography From Prologue
1,Last Cheerio Chased Around The Bowl For A Few Laps
1,Trump Blames Nation’s Susceptibility To Coronavirus Outbreak On Weakness Of America’s Race-Muddled Gene Pool
1,Man Can’t Wait For Quarantine To End So He Can Finally Take Shower Again
1,Flashback! 8 Mind-Blowing Photos Of Jessica Alba Before She Was Famous
1,Speedrunner Accidentally Enjoys Game For A Moment
1,Health Officials Warn Mysterious Voice Calling For People To Come Out And Play In Middle Of Night Could Be Coronavirus
1,"The Week In Pictures – Week Of May 11, 2020"
1,Tinder To Introduce In-App Video Chat Feature
1,Experts Warn Unemployment Rate Could Soon Rise To America Is The Greatest Country In The World
1,77% Of Laid-Off Workers Expect To Be Rehired By Employer In Future
1,Georgia Governor Disgusted By Inhumane Filming Of Black Man’s Murder
1,10 Utterly Unremarkable TV Shows To Transform Your Existence Into A Monochromatic Blur Where Each Day Is Indistinguishable From The Last
1,Trump Names Donor As New Postmaster General
1,Most Common Panic-Buying Purchases During Coronavirus
1,Each Successive Comment On ‘Jack And Diane’ Music Video More Heartbreaking Than Last
1,Incredible Security: The Xbox Series X Will Deter Would-Be Burglars By Emitting A Rotting Crab Smell At All Times
1,Watch What Happens When You Zoom In On This Bread
1,12 Sure Signs You Directed The 2006 Motion Picture ‘Babel’
1,Study Finds It Statistically Impossible That Your Mom The Best Mom In The World
1,"Kansas Unveils $1.5 Million, 50,000-Square-Mile ‘Bless This Mess’ Border Mat"
1,"‘Hey,’ Says Chloë Sevigny In Cool, Unaffected Greeting To Firstborn"
1,NYPD Officer Hopes Black Teen Only Coughing Because He Just Choked Him
1,"‘Light ’Em Up, Boys!’ Shouts Gun-Toting CDC Grunt After Hundreds Of Baby Coronaviruses Burst Out Of Pulsating Nest"
1,Rich College Student Trying To Find Shabbiest Angle In Parents’ Penthouse To Zoom Into Class From
1,Scientists Study Llamas In Quest For Coronavirus Treatment
1,God Cleans Cosmos After Discovering Universe Infested With Ants
1,"Stephen A. Smith: ‘I’ve Loved Ha-Seong Kim For Years, But He Will Simply Never Be The Player Jeong Choi Is’"
1,Golden Boy Boxing Applies For PPP Loan To Continue Paying Off Judges
1,REWIND! 10 Sharp Knives That Scarred You For Life
1,New York City Shuts Down Subway Overnight To Disinfect Rats
1,Quiet City Streets Allow Neighborhood Residents To Hear The Natural Sounds Of Couples’ Blow-Out Fights
1,1 In 5 Wendy’s Restaurants Currently Out Of Beef
1,Major Airlines Will Require Passengers Wear Masks During Flights
1,Man Just Can’t Be With Someone Who He Projects So Many Of His Own Flaws Onto
1,Elon Musk Debuts New Self-Parenting Child
1,Study Finds Skin Melting Off Your Hands Revealing Bones Beneath Best Indication You’re About To Have A Bad Trip
1,Biden Campaign Considering Using The Internet To Attract Voters
1,"Conservative Militia Group Prepares For Societal Collapse By Training As Hairstylists, Nail Technicians"
1,How Contact Tracing Works
1,Facebook Cracking Down On Misinformation By Warning Users Who Share Links From Facebook
1,The Top 10 Celebrity Pip Blips
1,Nobody Panic: Bulbasaur Found A Gun
1,Oscar Meyer Whiner
1,Michelle Obama ‘Becoming’ Netflix Documentary Spends First Hour On Embryonic Stage
1,Carnival Cruise Line To Resume Service In August
1,The Top 10 Prevented Nip Slips
1,Boston Market CEO Forgoes Annual 2-Million-Gallon Gravy Bonus To Help Pay Unemployed Workers
1,Immune System Bored Too
1,Bride Only One Not Relieved About Postponed Wedding Date
1,Poll Finds Majority Of Americans Would Prefer Working Remotely After Pandemic
1,"13 Adorable Photos Of Baby Farm Animals, But With Each Click, Another Appendage Will Be Cut Off Our Finance Director’s Body. How Far Will You Go? When Will You Let It Stop?"
1,Pizza Placed In Frozen Slumber Until Time World Needs It Most
1,Man Feels Like He Gets Gist Of Enlightenment After First Few Minutes Of Hearing Zen Monk Talk
1,BREAKING: Millions Of Americans Sucked Out Into Space After NASA Accidentally Open Airlock Above Headquarters
1,"Your Horoscopes — Week Of May 5, 2020"
1,Invasive ‘Murder Hornets’ Confirmed In U.S.
1,Best At-Home Workouts To Do When Your Head Is Stuck In The Banister
1,Camouflage-Wearing Protesters Pose With Virus They Caught
